molecule_smiles,taskMask,y_cac,y_lip,y_sol,y_ppb,y_ld5,y_cle
OCC(O)C(O)C(O)C(O)C(O)CO,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.372,0.0,0.0,0.0
CCCCCCCCCCCCS,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-7.574,0.0,0.0,0.0
CC(=O)CC(C)=O,"[0, 0, 1, 0, 1, 0]",0.0,0.0,0.186,0.0,3.26,0.0
F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-0.304,0.0,0.0,0.0
CCCOc1ccc(C=CC(=S)OCC)cc1OC,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.443,0.0
CC(=S)NC[C@H]1CN(c2ccc(N3CCCS(=O)CC3)c(F)c2)C(=O)O1,"[1, 0, 0, 0, 0, 0]",-5.339,0.0,0.0,0.0,0.0,0.0
C=C(C)OC(C)=O,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-0.528,0.0,1.523,0.0
OC1CC2CC1C1CC=CC21,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.672,0.0
Clc1ccc(OCOc2ccc(Cl)cc2)cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.667,0.0
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C(C)(C)C)cc1,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,53.0
O=C1OCCCN1/N=C/c1ccc([N+](=O)[O-])o1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.476,0.0,0.0,0.0
CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,"[0, 1, 0, 1, 0, 1]",0.0,2.4,0.0,81.01,0.0,11.48
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-8.402,0.0,0.0,0.0
CCCCCC(=O)OCSc1ncnc2[nH]cnc12,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.63,0.0,0.0,0.0
CC(C)C[C@H](CN)CC(=O)O,"[0, 0, 0, 1, 0, 0]",0.0,0.0,0.0,50.0,0.0,0.0
Fc1ccc(Br)cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.812,0.0
Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1,"[0, 1, 0, 1, 0, 0]",0.0,3.04,0.0,64.54,0.0,0.0
O=C(OCC(=O)N1CCC1)c1ccccc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.609,0.0,0.0,0.0
C=CC(=O)OCCOC(=O)c1ccc(C(=O)O)cc1C(=O)O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.985,0.0
CCCCCCCC(C)=O,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-2.93,0.0,1.648,0.0
O=C(O)CCC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.59,0.0
CC(C)(C)OC(=O)c1cccc([N+](=O)[O-])c1C(=O)[O-],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.047,0.0,0.0,0.0
CC(=O)Nc1ccccc1O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.13,0.0,0.0,0.0
N#CNC(N)=NCCCCCCN=C(N)NC#N,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-4.435,0.0,0.0,0.0
COc1ccc(-c2nc(N)s[n+]2-c2ccccc2)cc1,"[0, 1, 0, 0, 0, 0]",0.0,2.19,0.0,0.0,0.0,0.0
OCCOCC(COCCO)OCCO,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.649,0.0,0.0,0.0
CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-8.29,0.0,0.0,0.0
O=NN(c1cccc(C(F)(F)F)c1)c1ccccc1C(=O)O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.537,0.0
S=C1NCCC(COc2ccccc2)O1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.006,0.0
O=C(O)[C@@H](O)[C@H](O)C(=O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.824,0.0,0.0,0.0
O=C(Cc1ccccn1)c1ccc(Cl)cc1,"[0, 1, 0, 0, 0, 0]",0.0,2.96,0.0,0.0,0.0,0.0
C=C/C(C)=C/CC=C(C)C,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.973,0.0,0.0,0.0
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-6.539,0.0,0.0,0.0
CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,33.88
NC(=O)NCO,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-0.346,0.0,0.0,0.0
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.956,0.0
Cc1ccccc1NC(=O)C1=Cc2ccccc2/C(=N\Nc2cc(Cl)c(Cl)cc2Cl)C1=O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-7.694,0.0,0.0,0.0
CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-7.381,0.0,0.0,0.0
CC(C)Cc1ncc[nH]1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.049,0.0,0.0,0.0
Cc1cc(N)nc(CCNC(=O)c2ccc(C#N)cc2)c1,"[0, 1, 0, 0, 0, 0]",0.0,1.62,0.0,0.0,0.0,0.0
CCOP(C)(=O)SCCN(C)C,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,6.238,0.0
[As],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.574,0.0,0.0,0.0
CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,"[0, 1, 0, 0, 0, 1]",0.0,2.61,0.0,0.0,0.0,21.88
CC(C)NCC(O)c1cc(O)cc(O)c1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.797,0.0
CCC(=O)c1ccc(OCC(O)CO)c(OC)c1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.191,0.0
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-3.875,0.0,2.196,0.0
N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.16,0.0,0.0,0.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,"[1, 0, 1, 0, 0, 0]",-4.389,0.0,-3.241,0.0,0.0,0.0
O=C(O)c1ccc(Br)c([N+](=O)[O-])c1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.968,0.0,0.0,0.0
O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,"[0, 1, 0, 0, 0, 0]",0.0,3.0,0.0,0.0,0.0,0.0
CCSSCC,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-2.42,0.0,1.78,0.0
NS(=O)(=O)c1ccc(SCCCCCO)cc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.662,0.0,0.0,0.0
CCOP(=S)(OCC)SCc1nnc(C)o1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,4.703,0.0
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-4.045,0.0,0.0,0.0
Cc1cccc(Br)c1C(=O)N[C@@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)C(=O)O,"[0, 1, 0, 0, 0, 0]",0.0,-0.13,0.0,0.0,0.0,0.0
Nc1ncnc2c1C(=O)N(c1ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc1)CCO2,"[0, 1, 0, 0, 0, 0]",0.0,-0.5,0.0,0.0,0.0,0.0
COc1cc2nnc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC,"[0, 0, 0, 1, 0, 0]",0.0,0.0,0.0,97.81,0.0,0.0
CCNCCO,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.95,0.0
Cc1nc(N)nc(N)c1-c1ccc(Br)cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.048,0.0
CCNC(C)C(=O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.652,0.0,0.0,0.0
CCOP(=S)(OCC)SCN1C(=O)c2ccccc2C1=O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.905,0.0
CCCCCCCOC(=O)c1ccc(N)cc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-4.6,0.0,0.0,0.0
CC(=O)OC1CCC2CCCCC2C1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.561,0.0,0.0,0.0
CCC(C)c1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.477,0.0
C[C@H]1CN(C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)N2CCC(C(=O)NC(C)(C)C)(C3CCCCC3)CC2)C[C@@H](C)N1,"[0, 0, 0, 1, 0, 1]",0.0,0.0,0.0,92.32,0.0,10.72
Cc1ccnc2c1ccc1c(C)ccnc12,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.969,0.0,0.0,0.0
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],"[0, 0, 1, 0, 1, 0]",0.0,0.0,-3.04,0.0,2.832,0.0
Nc1ccc(S(=O)(=O)O)c2cccc(O)c12,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.586,0.0
CCCCCCCCCC(=O)O,"[1, 0, 1, 0, 0, 0]",-4.68,0.0,-3.445,0.0,0.0,0.0
O=C(N[C@@H](Cc1ccc(OCCc2ccc3c(n2)NCCC3)cc1)C(=O)O)c1c(Cl)cccc1Cl,"[0, 1, 0, 0, 0, 0]",0.0,0.33,0.0,0.0,0.0,0.0
Cc1ccc(C(C)C)cc1,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-3.77,0.0,1.451,0.0
CCCCCCCCCCCCOS(=O)(=O)c1ccccc1.[Na],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.543,0.0,0.0,0.0
O=C(Nc1ccccc1)Nc1cnns1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.615,0.0
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Mn+2].[Na+].[Na+],"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.025,0.0,0.0,0.0
CCCCCCCCN1CCCC1=O,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.983,0.0
CC(=O)C(C)C,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-0.151,0.0,2.765,0.0
CC(=O)/C(=N\Nc1cc([N+](=O)[O-])cc(S(=O)(=O)[O-])c1[O-])C(=O)[N-]c1ccccc1.CCCCC(CC)COCCCN.[Cr+3].[H+].[OH-],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.543,0.0,0.0,0.0
CS(C)=O,"[0, 0, 1, 0, 1, 0]",0.0,0.0,1.107,0.0,0.731,0.0
CCCCSc1cc(O)cc(O)c1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.519,0.0,0.0,0.0
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccccn3)CCC1CC2)(c1ccccc1)N1CCCCC1,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,64.0
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3ccc(Cl)cc3)CC2)CC1,"[0, 1, 0, 0, 0, 0]",0.0,2.81,0.0,0.0,0.0,0.0
C=C1C2CCC(C2)C1(C)C.CC12CCC(CC1)C(C)(C)O2.CC12CCC(CC1=O)C2(C)C.CC1=CCC2CC1C2(C)C,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-5.438,0.0,0.0,0.0
CC1CN(CCCCCCCCNC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)CC(C)O1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.939,0.0
O=C(OCn1c(=O)[nH]cc(F)c1=O)Oc1ccccc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.45,0.0,0.0,0.0
Cc1ccc2c(c1)c(-c1ccnc3c(C)cccc13)c(C)n2CC(=O)O,"[0, 1, 0, 1, 0, 0]",0.0,1.29,0.0,99.48,0.0,0.0
CCCC(=O)O,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-0.167,0.0,1.644,0.0
Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-8.71,0.0,0.0,0.0
O=P(OC(Cl)CCCl)(OC(Cl)CCCl)OC(Cl)CCCl,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.634,0.0,0.0,0.0
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-5.09,0.0,1.789,0.0
Cc1ccc(CCOCCNS(=O)(=O)CCCNCCc2ccc(O)c3nc(O)sc23)cc1,"[0, 1, 0, 0, 0, 1]",0.0,2.07,0.0,0.0,0.0,150.0
COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,"[0, 1, 0, 0, 0, 0]",0.0,2.0,0.0,0.0,0.0,0.0
CCC(C)OP(=S)([S-])OC(C)CC(C)C.CCC(C)OP(=S)([S-])OC(C)CC(C)C.[Zn+2],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.991,0.0,0.0,0.0
FC(F)(F)c1ccc(Cl)c(Cl)c1,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-3.268,0.0,1.871,0.0
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,"[0, 0, 1, 0, 1, 0]",0.0,0.0,-4.47,0.0,2.49,0.0
O=c1ncc2nccnc2[nH]1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.0,0.0,0.0,0.0
CCCOP(=S)(CCl)Sc1ccc(Cl)cc1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.596,0.0
Nc1cnn(CCO)c1N.O=S(=O)(O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.444,0.0,0.0,0.0
CC1(O)CN(S(=O)(=O)c2ccc3c(C(=O)NC[C@@H](O)CN4CCC(Oc5ccc(Cl)c(Cl)c5)CC4)c[nH]c(=O)c3c2)C1,"[0, 1, 0, 0, 0, 0]",0.0,2.54,0.0,0.0,0.0,0.0
Cc1cc(C)c(N)cc1C,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.955,0.0,0.0,0.0
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,"[0, 1, 0, 0, 0, 0]",0.0,0.05,0.0,0.0,0.0,0.0
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.77,0.0,0.0,0.0
O=C(Cl)C1C2C=CC(C2)C1C(=O)Cl,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.948,0.0
COc1ccccc1OCC1CNC(=O)O1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.767,0.0
CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-6.601,0.0,0.0,0.0
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.021,0.0,0.0,0.0
N=C1C=CC2=CC(S(=O)(=O)[O-])=CC(=O)C2=C1NNc1ccc(N)cc1S(=O)(=O)[O-].[Na+].[Na+],"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.317,0.0,0.0,0.0
CC(O)c1cc(N)cc(C(F)(F)F)c1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.368,0.0
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],"[0, 0, 1, 0, 1, 0]",0.0,0.0,-5.53,0.0,1.525,0.0
CCCCCCCCCCCCCCCCCC(=O)OCCCC,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.027,0.0
CCS(=O)(=O)CI,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-0.971,0.0,0.0,0.0
O=[PH]([O-])[O-].[Ca+2],"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.949,0.0,0.0,0.0
CCOC(=O)CCC(=O)CC1(O)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C42Cl,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.422,0.0
CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.697,0.0
CCCCOCCOC(=O)c1ccccc1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-3.322,0.0,0.0,0.0
O=[Mo](=O)([O-])[O-].[Co+2],"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.634,0.0,0.0,0.0
CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,"[0, 0, 0, 1, 0, 0]",0.0,0.0,0.0,98.84,0.0,0.0
CCOP(=S)(OCC)SC(=CC(=O)OC)C(=O)OC,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,3.613,0.0
CN(C)N=NN(C)C,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,1.815,0.0
COCCCCC=O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.457,0.0,0.0,0.0
N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@H](O)C3)c2c1,"[0, 1, 0, 1, 0, 0]",0.0,0.46,0.0,39.23,0.0,0.0
NS(=O)(=O)c1ccc(Cl)cc1,"[1, 0, 0, 0, 0, 0]",-4.262,0.0,0.0,0.0,0.0,0.0
Nc1ccc(Cl)cc1O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-2.391,0.0,0.0,0.0
O=S1OCCO1,"[0, 0, 1, 0, 0, 0]",0.0,0.0,0.221,0.0,0.0,0.0
C=CCC1(CC)C(=O)NC(=O)NC1=O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.61,0.0,0.0,0.0
CCOC(=S)SC(CC(N)=O)C(=O)O,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-1.7,0.0,0.0,0.0
CN1Cc2c(N)cccc2[C@@H](c2ccccc2)C1,"[0, 1, 0, 0, 0, 0]",0.0,2.11,0.0,0.0,0.0,0.0
C=CC(=O)OCCOCCC#N,"[0, 0, 0, 0, 1, 0]",0.0,0.0,0.0,0.0,2.179,0.0
CCCCCCCCC(CO)CCCCCC,"[0, 0, 1, 0, 0, 0]",0.0,0.0,-5.385,0.0,0.0,0.0
